,MAE,RMSE,n_epochs,n_factors,params,scores
15,0.7806639336117391,1.004461503153143,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.004461503153143, 'MAE': 0.78066393361173914}"
16,0.7734612130178513,0.9916098479955157,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.99160984799551566, 'MAE': 0.77346121301785131}"
17,0.768523851393808,0.9832127579001713,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.98321275790017126, 'MAE': 0.76852385139380797}"
18,0.7532450837793654,0.9534019124572197,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.95340191245721972, 'MAE': 0.75324508377936539}"
19,0.7522544789258439,0.9516757603542418,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.95167576035424184, 'MAE': 0.75225447892584385}"
20,0.7521949839988633,0.950891590005948,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.95089159000594803, 'MAE': 0.75219498399886331}"
21,0.7776713616970294,0.9887195006162766,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': False, 'reg_all': 0.01}","{'RMSE': 0.98871950061627656, 'MAE': 0.77767136169702944}"
22,0.7763507906892112,0.9855385163235559,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.98553851632355594, 'MAE': 0.7763507906892112}"
23,0.7736550435142071,0.9824535396216466,20,50,"{'n_factors': 50, 'n_epochs': 20, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.98245353962164661, 'MAE': 0.77365504351420711}"
24,0.7739426809663317,0.9869048212968277,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.98690482129682766, 'MAE': 0.77394268096633168}"
25,0.7644337326484303,0.9723821013140556,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.97238210131405556, 'MAE': 0.76443373264843029}"
26,0.7569580974412746,0.9632861567298355,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.96328615672983553, 'MAE': 0.75695809744127462}"
27,0.7963395093330476,1.0125143231098033,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.0125143231098033, 'MAE': 0.79633950933304765}"
28,0.7861342361754072,0.9990645272288377,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.99906452722883765, 'MAE': 0.78613423617540723}"
29,0.7731833576722229,0.9818111089234487,40,50,"{'n_factors': 50, 'n_epochs': 40, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.98181110892344869, 'MAE': 0.7731833576722229}"
30,0.806494085603386,1.0304857853094305,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': True, 'reg_all': 0.01}","{'RMSE': 1.0304857853094305, 'MAE': 0.80649408560338598}"
31,0.7837749305063617,0.9995989408326768,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.99959894083267675, 'MAE': 0.78377493050636171}"
32,0.7705193739127334,0.9820664926381883,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.98206649263818835, 'MAE': 0.7705193739127334}"
33,0.826044861756454,1.0527913932642143,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.0527913932642143, 'MAE': 0.82604486175645397}"
34,0.8036937118819834,1.0235342547427826,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': False, 'reg_all': 0.02}","{'RMSE': 1.0235342547427826, 'MAE': 0.80369371188198335}"
35,0.7908056313885593,1.0060511318634453,60,50,"{'n_factors': 50, 'n_epochs': 60, 'biased': False, 'reg_all': 0.03}","{'RMSE': 1.0060511318634453, 'MAE': 0.7908056313885593}"
36,0.7543193794093362,0.9548971594420455,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.95489715944204545, 'MAE': 0.75431937940933624}"
37,0.7526816523605546,0.9523649576418216,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.95236495764182161, 'MAE': 0.75268165236055462}"
38,0.7524427124050217,0.9511191221160624,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.95111912211606242, 'MAE': 0.7524427124050217}"
39,0.7849065980097993,0.9952339320377619,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': False, 'reg_all': 0.01}","{'RMSE': 0.99523393203776189, 'MAE': 0.78490659800979934}"
40,0.7802098517976201,0.9895035757295896,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.98950357572958958, 'MAE': 0.78020985179762015}"
41,0.7785769830131826,0.9872731504357048,20,70,"{'n_factors': 70, 'n_epochs': 20, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.98727315043570485, 'MAE': 0.77857698301318257}"
42,0.7748160531985295,0.9866032262105682,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.98660322621056817, 'MAE': 0.77481605319852953}"
43,0.7646034298785962,0.9724901438939355,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.97249014389393551, 'MAE': 0.7646034298785962}"
44,0.7574554453310307,0.9618659766768575,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.96186597667685747, 'MAE': 0.75745544533103071}"
45,0.8056639729594948,1.022562439027066,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.022562439027066, 'MAE': 0.80566397295949477}"
46,0.7901522050880094,1.0023070962227223,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': False, 'reg_all': 0.02}","{'RMSE': 1.0023070962227223, 'MAE': 0.79015220508800943}"
47,0.7813677538374335,0.9904045380104357,40,70,"{'n_factors': 70, 'n_epochs': 40, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.99040453801043571, 'MAE': 0.78136775383743351}"
48,0.7995603304347991,1.0194740176685781,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': True, 'reg_all': 0.01}","{'RMSE': 1.0194740176685781, 'MAE': 0.79956033043479913}"
49,0.7832640596310771,0.9973766129001442,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.99737661290014423, 'MAE': 0.78326405963107715}"
50,0.7714164815402416,0.981411943617745,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.98141194361774498, 'MAE': 0.77141648154024156}"
51,0.8299046785620192,1.0547814060822538,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.0547814060822538, 'MAE': 0.82990467856201922}"
52,0.8075868744281945,1.0252675552711987,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': False, 'reg_all': 0.02}","{'RMSE': 1.0252675552711987, 'MAE': 0.80758687442819455}"
53,0.792150578000145,1.0042735543409593,60,70,"{'n_factors': 70, 'n_epochs': 60, 'biased': False, 'reg_all': 0.03}","{'RMSE': 1.0042735543409593, 'MAE': 0.79215057800014499}"
54,0.7586746400277988,0.9598415755840031,20,100,"{'n_factors': 100, 'n_epochs': 20, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.95984157558400307, 'MAE': 0.75867464002779883}"
55,0.7546238134722665,0.9550252428648679,20,100,"{'n_factors': 100, 'n_epochs': 20, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.9550252428648679, 'MAE': 0.75462381347226648}"
56,0.7534385462403025,0.9527514638737713,20,100,"{'n_factors': 100, 'n_epochs': 20, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.9527514638737713, 'MAE': 0.75343854624030249}"
57,0.7933137680741096,1.0051634845149258,20,100,"{'n_factors': 100, 'n_epochs': 20, 'biased': False, 'reg_all': 0.01}","{'RMSE': 1.0051634845149258, 'MAE': 0.79331376807410958}"
58,0.7905129049046487,1.0007232857255044,20,100,"{'n_factors': 100, 'n_epochs': 20, 'biased': False, 'reg_all': 0.02}","{'RMSE': 1.0007232857255044, 'MAE': 0.79051290490464865}"
